Timestamp,To what extent do you follow the news of the day in general?,What sources do you follow the news of the day?,Province of residence,Living Location,age,gender,Last education degree,How much did you follow the news ten years ago?,"Ten years ago, what sources did you follow the news of the day more?","Apart from news and news programs, what do you follow more in the media?"
04/22/2022 10:23:02,very much,Telegram,Tehran,urban,39,male,pdh and above,very little,Internal newspapers,"Movie and TV series, art programs"
04/22/2022 11:09:54,much,Telegram,Khorasan Razavi,urban,30,male,pdh and above,a lot,"Internal television, Internal Newspapers, Blogs","Movie and Serial, Comic Programs"
04/22/2022 12:09:39,much,Telegram,Tehran,urban,40,male,master's degree,a lot,News websites,Sports programs
04/22/2022 13:17:49,much,"national televisioning, Internal Newspapers, Iran International, BBC, manoto, Radio Fardavarda, Voice of America, News websites, Instagram, Telegram, Facebook",Khorasan Razavi,urban,31,male,bachelor's degree,very much,"Voice and Internal newspapers, BBC, Voice of America, Radio, News websites, other satellite channels, Facebook, blogs","Movies and Serials, Sports Programs, Educational Programs, Art Programs, Documentary Programs, Comic Programs, Cooking Programs, Lecture / Discussion / Dialogue"
04/22/2022 13:46:00,very much,"Telegram, WhatsApp, Other",Tehran,urban,45,male,master's degree,a lot,"Internal newspapers, news websites, blogs","Educational or Teaching Programs, Speech / Discussion / Dialogue"
04/22/2022 14:39:43,little,"national television, manoto, Instagram, Telegram",Khorasan Razavi,urban,23,male,associates degree,very little,national television,"Movie and TV series, documentary programs, comic programs, cooking programs, other apps"
04/22/2022 15:59:51,much,"Twitter, other",Golestan,rural,43,male,bachelor's degree,very much,"BBC, Voice of America","Movies and TV series, sports programs, training or textbooks"
04/22/2022 16:38:34,very little,Other,Qazvin,urban,37,other,high school diploma,some,national television,"Movies and Serials, Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs"
04/22/2022 17:10:36,very much,"manoto, Radio Farda, News websites, Instagram, Telegram, Twitter",Tehran,urban,38,male,bachelor's degree,some,"Internal television, BBC, Voice of America","Movie and TV series, art programs, lectures / discussions / conversation"
04/22/2022 17:53:58,much,"national television, Iran International, BBC, Radio Farda, Voice of America, Other Satellite Channels, Instagram, Telegram, WhatsApp",Tehran,urban,70,male,bachelor's degree,a lot,"Internal televisioning, Internal Newspapers, BBC, Voice of America, Radio, News websites, Blogs, Other","Educational or Teaching Programs, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue, Other Programs"
04/22/2022 18:06:31,much,Telegram,Tehran,urban,37,male,bachelor's degree,a lot,BBC,"Documentary programs, lectures / discussions / conversation"
04/22/2022 18:49:05,very little,"national television, Telegram",Fars,urban,17,female,no high school diploma,not at all,,Educational programs
04/22/2022 19:00:27,much,"BBC, News websites",Khuzestan,urban,38,male,master's degree,some,"Internal television, Internal Newspapers","Movie and TV series, sports programs, comic programs"
04/22/2022 20:38:27,very much,Other,Tehran,urban,90,female,pdh and above,very much,Other,Other plans
04/23/2022 02:20:55,a little,"Iran International, Manoto",Fars,urban,65,male,high school diploma,a lot,"Internal television, BBC, Voice of America","Movie & Serial, Lecture / Discussion / Dialogue"
04/23/2022 02:34:29,very little,Other,Sistan and Baluchestan,rural,36,male,other,some,"Internal televisioning, Internal Newspapers, Voice of America, Radio, News websites, Facebook, Blogs, Instagram, Twitter, Other","Movies and Serials, Sports Programs, Educational Programs, Art Programs, Documentary Programs, Religious Programs, Comic Programs, Cooking Programs, Child Programs, Lecture / Discussion / Dialogue, Other Programs"
04/23/2022 02:45:19,much,"News websites, telegram",Gilan,rural,48,male,bachelor's degree,a lot,News websites,"Educational or Teaching Programs, Speech / Discussion / Dialogue"
04/23/2022 04:51:53,much,"national television, News websites, Instagram, Telegram, WhatsApp, Twitter",Fars,urban,46,male,high school diploma,not at all,,"Movies and Serials, Sports Programs, Documentary Programs, Comic Programs"
04/23/2022 05:10:17,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, other satellite channels, news websites, Instagram, telegram, WhatsApp, Facebook, Other",Tehran,urban,68,male,master's degree,very much,"BBC, Voice of America, Radio, News websites, other satellite channels, others","Sports programs, art programs, documentary programs, lectures / discussions / dialogue, other programs"
04/23/2022 06:39:40,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram, Telegram, WhatsApp, Twitter, Facebook",Esfahan,urban,52,male,pdh and above,some,"Internal newspapers, BBC, radio, news websites","Movies and TV series, art programs, documentary programs, comic programs, cooking programs, child programs"
04/23/2022 07:16:36,a little,"Iran International, News websites, Instagram",Khorasan Razavi,urban,27,male,high school diploma,a lot,"BBC, Voice of America, Radio, news websites","Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue, None"
04/23/2022 08:41:54,very much,Telegram,East Azarbaijan,rural,30,male,pdh and above,very much,BBC,Comic programs
04/23/2022 09:36:28,a little,"Iran International, Instagram",Ardebil,urban,40,male,bachelor's degree,very much,"BBC, Voice of America, Facebook",Movie and Serial
04/23/2022 10:47:28,much,"Iran International, manoto, Other Satellite Channels, Instagram, Telegram, Twitter",Sistan and Baluchestan,urban,45,male,associates degree,a lot,"BBC, Voice of America, Radio Farda, other satellite channels","Movies and Serials, Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs, Cooking Programs"
04/23/2022 11:45:23,very little,"Instagram, Telegram",Mazandaran,urban,19,male,high school diploma,some,national television,Movie and Serial
04/23/2022 11:55:52,much,"Iran International, BBC, News websites, Telegram, Twitter",Qom,urban,35,female,master's degree,some,"Internal newspapers, BBC, Radio, News websites","Movies and TV series, sports programs, comic programs, cooking programs"
04/23/2022 13:23:06,much,"manoto, Radio Farda, Instagram, Telegram, WhatsApp",Fars,urban,36,male,bachelor's degree,a lot,"Radio Farda, news websites, other satellite channels","Movies and TV series, sports programs, documentary programs, comic programs, child programs"
04/24/2022 02:29:34,little,"News websites, Instagram",Khorasan Razavi,urban,21,female,bachelor's degree,little,national television,"Movies and TV series, training or teaching programs, comic programs, other programs"
04/24/2022 02:34:20,very much,"Iran International, BBC, manoto, Voice of America, Instagram, Telegram, WhatsApp, Twitter",Gilan,urban,19,male,high school diploma,little,BBC,"Movie and TV series, documentary programs, comic programs, other apps"
04/24/2022 02:36:15,a little,"Telegram, Other",Tehran,urban,27,male,master's degree,some,BBC,"Movie and Serial, Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue"
04/24/2022 04:17:36,very much,"Iran International, manoto, Telegram, Twitter, Facebook",Kermanshah,urban,50,male,high school diploma,very little,Voice of America,"Movie and TV series, documentary programs, comic programs"
04/24/2022 05:02:11,very much,"Iran International, Twitter",Tehran,urban,50,male,no high school diploma,a lot,"BBC, Voice of America",Movie and Serial
04/24/2022 05:20:36,a little,"Iran International, News Website, Other",Esfahan,urban,22,male,bachelor's degree,some,national television,"Movie and Serial, Educational or Teaching Programs, Art Programs, Documentary Programs, Speech / Discussion / Dialogue, Other Programs"
04/24/2022 05:48:38,a little,"Instagram, Telegram",Tehran,urban,35,male,bachelor's degree,some,national television,Movie and Serial
04/24/2022 06:05:42,a little,"BBC, News websites, Telegram",Alborz,urban,40,male,bachelor's degree,very much,"Internal television, Internal Newspapers, BBC, Other","Movies and TV series, educational or lesson programs, documentary programs"
04/24/2022 06:58:40,a little,"Iran International, BBC, manoto, Voice of America, Telegram",Western Azerbaijan,rural,37,male,high school diploma,very little,national television,"Art programs, documentary programs, religious programs, comic programs, child programs"
04/24/2022 13:26:30,a little,"Iran International, BBC, Voice of America, Instagram, Telegram, Twitter, Facebook",Tehran,urban,33,male,high school diploma,little,"Internal television, Internal newspapers, BBC, Radio","Movie and Serial, Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue"
04/24/2022 16:00:44,not at all,,Bushehr,rural,35,male,master's degree,little,twitter,"Movie and TV series, training or lesson, other programs"
04/24/2022 16:26:14,very much,"manoto, Instagram, Telegram",Tehran,urban,49,male,bachelor's degree,very much,"BBC, Voice of America, News websites","Movie and Serial, Documentary Programs"
04/25/2022 01:11:34,a little,"BBC, news websites",Tehran,urban,35,male,bachelor's degree,some,"Internal television, News websites","Movies and TV series, art programs, documentary programs, comic programs"
04/25/2022 02:27:17,very much,"Iran International, BBC, Instagram, Telegram",Bushehr,urban,36,male,master's degree,very much,"Internal newspapers, BBC, Radio, Facebook, Twitter","Sports programs, art programs, documentary programs, lectures / discussions / dialogue"
04/25/2022 03:46:25,a little,"Iran International, Manoto",Tehran,rural,36,male,associates degree,a lot,national television,"Sports programs, art programs"
04/25/2022 04:39:06,a little,"Instagram, Telegram",Alborz,urban,24,male,bachelor's degree,very much,"Internal television, News websites","Educational or Teaching Programs, Art Programs, Documentary Programs, Speech / Discussion / Dialogue"
04/25/2022 05:52:33,a little,"national televisioning, Iran International, News websites, Telegram",Alborz,urban,15,male,no high school diploma,little,"Internal television, News websites","Movie and Serial, Documentary Programs"
04/25/2022 06:09:39,very much,"manoto, Voice of America, Instagram, Telegram, WhatsApp, Twitter, Facebook",Tehran,urban,40,male,bachelor's degree,a lot,"BBC, Voice of America, Radio Farda, other satellite channels","Movie and Serial, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue"
04/25/2022 06:17:21,a little,twitter,Tehran,urban,46,female,master's degree,some,BBC,"Movie and TV series, art programs"
04/25/2022 06:20:07,a little,"Iran International, Telegram",Tehran,urban,42,male,master's degree,a lot,"Internal newspapers, Radio Farda","Movie and TV series, sports programs"
04/25/2022 06:43:41,a little,"Iran International, manoto, Instagram, Telegram, WhatsApp",Qom,urban,37,male,master's degree,some,"Internal television, News websites","Movie and Serial, Documentary Programs, Speech / Discussion / Dialogue"
04/25/2022 08:23:15,a little,"News websites, Instagram, WhatsApp",Tehran,urban,44,male,associates degree,very much,"Internal television, BBC, Voice of America, News websites, Twitter","Movie and Serial, Comic Programs, Other Programs"
04/25/2022 09:51:02,very little,Other,Alborz,urban,34,male,associates degree,very much,"Internal newspapers, BBC, Voice of America, Radio Farda, Other Satellite Channels, Instagram, Other",Comic programs
04/25/2022 10:41:52,much,"Iran International, Telegram",Tehran,urban,32,male,master's degree,little,"BBC, news websites","Movie and TV series, sports programs"
04/25/2022 10:42:47,a little,"Iran International, BBC, manoto, Radio Farda, Instagram, WhatsApp",Kerman,urban,39,male,bachelor's degree,some,"BBC, Voice of America, Radio Farda","Movie and TV series, documentary programs, cooking programs"
04/25/2022 11:41:40,a little,"national television, Iran International, BBC, Instagram",Kermanshah,urban,33,male,high school diploma,little,national television,Comic programs
04/25/2022 12:38:18,a little,"Iran International, BBC, manoto, Voice of America, Instagram, Telegram",Kordestan,urban,55,male,pdh and above,a lot,"BBC, Voice of America","Educational or Teaching Programs, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue"
04/25/2022 13:13:19,not at all,,Khorasan Razavi,urban,33,male,bachelor's degree,some,Other satellite channels,Movie and Serial
04/25/2022 13:54:12,very much,"Instagram, Telegram, WhatsApp",Esfahan,urban,70,male,bachelor's degree,very much,"Voice of America, Blogs",Other plans
04/25/2022 15:28:36,a little,"Iran International, BBC, Radio Farda, Voice of America, News websites",Tehran,urban,47,male,no high school diploma,some,"Internal newspapers, Voice of America, News Website, Other","Movies and Serials, Educational or Lesson Programs, Documentary Programs, Other Programs"
04/25/2022 20:30:44,a little,"Iran International, manoto, Other Satellite Channels, Instagram, Telegram, WhatsApp",Tehran,urban,70,male,master's degree,some,"BBC, Voice of America, Radio Farda",Speech / Discussion / Dialogue
04/25/2022 23:17:02,much,"Iran International, Voice of America, News websites, Instagram, Other",Chaharmahal va Bakhtiari,urban,44,male,master's degree,a lot,Voice of America,Documentary programs
04/26/2022 00:57:14,very much,"BBC, manoto, Voice of America, News websites, WhatsApp, Facebook, Other",Kerman,rural,28,male,bachelor's degree,a lot,"BBC, Voice of America, Facebook","Movie and Serial, Documentary Programs, Speech / Discussion / Dialogue"
04/26/2022 01:28:12,much,"Iran International, manoto, Telegram",Tehran,urban,37,male,pdh and above,some,"BBC, Voice of America, Twitter","Movies and TV series, sports programs, documentary programs, lectures / discussions / conversation"
04/26/2022 01:55:32,a little,"BBC, Voice of America",Kermanshah,urban,41,male,associates degree,little,"Internal newspapers, BBC, Voice of America","Movie and TV series, documentary programs, comic programs, other apps"
04/26/2022 02:39:41,a little,Other,Alborz,urban,38,male,bachelor's degree,very much,"BBC, other satellite channels","Movie and Serial, Comic Programs"
04/26/2022 03:08:04,much,"BBC, News websites, Instagram, Telegram, WhatsApp",Esfahan,urban,40,male,high school diploma,a lot,"Internal newspapers, BBC","Movie and Serial, Sports Programs, Educational Programs, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue"
04/26/2022 04:13:43,a little,"Instagram, Telegram",Golestan,rural,33,male,no high school diploma,little,national television,Movie and Serial
04/26/2022 04:50:16,very much,"Iran International, BBC, Twitter",Tehran,urban,38,male,master's degree,some,BBC,Movie and Serial
04/26/2022 07:43:37,a little,"Iran International, BBC, manoto, Voice of America, Instagram, Twitter",Tehran,urban,19,male,high school diploma,little,BBC,"Movie and TV series, art programs, documentary programs"
04/26/2022 07:46:22,a little,Iran International,Golestan,urban,15,male,no high school diploma,some,national television,Comic programs
04/26/2022 08:19:44,very much,"national television, Internal Newspapers, Iran International, Radio Farda, Instagram",Esfahan,urban,27,male,high school diploma,some,national television,"Sports Programs, Educational or Teaching Programs, Art Programs, Religious Programs, Cooking Programs, Lecture / Discussion / Dialogue"
04/26/2022 09:22:28,very much,Other,Kermanshah,urban,22,male,high school diploma,little,national television,"Movie and TV series, other apps"
04/26/2022 10:33:05,very much,Telegram,Khorasan Razavi,urban,30,male,bachelor's degree,very much,"News websites, other satellite channels","Movie and TV series, art programs, documentary programs, lectures / discussions / conversation"
04/26/2022 10:52:01,much,"Internal newspapers, Iran International, BBC, manoto, Telegram, WhatsApp",Tehran,urban,48,male,master's degree,a lot,"Internal newspapers, BBC, news websites","Movie and Serial, Sports Programs, Documentary Programs, Comic Programs, Lecture / Discussion / Dialogue"
04/26/2022 12:41:02,very much,"Iran International, BBC, manoto, Radio Farda, Voice of America, other satellite channels, news websites, Instagram, telegram, WhatsApp, Twitter, Facebook",Qazvin,urban,33,male,associates degree,some,"Internal television, Internal Newspapers, BBC","Sports programs, documentary programs"
04/26/2022 23:47:59,much,"Iran International, BBC, manoto, Instagram",Gilan,urban,29,male,master's degree,some,"Internal television, Internal Newspapers","Movie and Serial, Comic Programs"
04/27/2022 01:50:09,much,"national television, News websites, Instagram",Qom,urban,40,male,master's degree,little,national television,"Teaching or Teaching Programs, Comic Programs, Cooking Programs"
04/27/2022 04:55:32,very much,Telegram,Alborz,urban,30,male,high school diploma,very little,News websites,Movie and Serial
04/27/2022 05:29:54,much,"BBC, manoto, Radio Farda, Instagram, Telegram",Esfahan,urban,34,male,master's degree,a lot,"BBC, Voice of America, Radio Farda, Other Satellite Channels, Facebook, Blogs","Movie and Serial, Comic Programs"
04/27/2022 06:16:05,a little,"Telegram, Twitter",Gilan,urban,25,male,master's degree,a lot,"Internal television, Internal Newspapers","Sports programs, other programs"
04/27/2022 06:36:26,very much,"Iran International, BBC, manoto, Radio Fardavarda",Tehran,urban,64,female,high school diploma,a lot,BBC,"Movie and TV series, sports programs"
04/27/2022 06:37:48,very much,"Iran International, BBC, manoto, Radio Farda, Instagram, Telegram",Alborz,urban,28,male,bachelor's degree,some,BBC,"Movie and Serial, Educational or Teaching Programs, Art Programs, Comic Programs, Lecture / Discussion / Dialogue"
04/27/2022 08:26:40,much,"national television, Iran International, BBC, manoto, Radio Farda, Voice of America, News websites, Instagram, Telegram, WhatsApp",Khuzestan,urban,45,male,bachelor's degree,a lot,"Internal televisioning, Internal Newspapers, BBC, Voice of America, Radio, News websites, Instagram","Movies and Serials, Educational or Teaching Programs, Art Programs, Documentary Programs, Comic Programs, Cooking Programs"
04/27/2022 09:59:06,much,"national television, manoto, News websites, Telegram",Tehran,urban,73,male,master's degree,a lot,"News websites, Twitter",Movie and Serial
04/27/2022 17:24:10,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram",Alborz,urban,29,male,no high school diploma,a lot,"Internal newspapers, BBC, Instagram","Movie and Serial, Comic Programs"
04/27/2022 17:24:43,very much,"Iran International, BBC, Instagram, Other",Tehran,urban,35,male,associates degree,some,"Internal television, News websites","Movie & Serial, Lecture / Discussion / Dialogue"
04/27/2022 17:32:01,very much,"BBC, Instagram, Telegram",Alborz,urban,36,male,bachelor's degree,very much,"Internal newspapers, BBC, Voice of America",None
04/27/2022 17:36:08,much,"Iran International, BBC, manoto, Voice of America, Instagram, Telegram",Esfahan,urban,28,male,associates degree,little,"Internal newspapers, BBC, Voice of America","Sports programs, documentary programs, comic programs"
04/27/2022 17:45:32,much,"national television, News websites, Instagram",Tehran,urban,36,female,bachelor's degree,very much,"Internal television, News websites",Documentary programs
04/27/2022 17:51:05,a little,Instagram,Alborz,urban,26,male,no high school diploma,very little,"BBC, Voice of America, other satellite channels",Comic programs
04/27/2022 18:00:25,very much,"Iran International, Twitter",Tehran,urban,24,male,high school diploma,little,"Internal newspapers, BBC, Voice of America","Movies and Serials, Sports Programs, Training or Teaching Programs, Documentary Programs"
04/27/2022 18:14:35,very much,"national television, Internal Newspapers, Iran International, BBC, manoto, Radio Farda, Voice of America, News websites, Instagram, Telegram, Twitter, Other",Tehran,urban,20,female,high school diploma,some,"Internal television, Other","Sports Programs, Educational or Teaching Programs, Art Programs, Documentary Programs, Cooking Programs, Lecture / Discussion / Dialogue, Other Programs"
04/27/2022 18:16:26,very much,"Iran International, Instagram, Telegram, Twitter",Tehran,urban,36,male,bachelor's degree,very little,"Internal television, Internal Newspapers, BBC","Teaching or Teaching Programs, Comic Programs"
04/27/2022 18:18:56,very much,"Other satellite channels, Instagram",Markazi,rural,33,male,no high school diploma,some,national television,"Sports programs, comic programs"
04/27/2022 18:42:50,very much,"Iran International, BBC, manoto, Radio Farda, Voice of America, other satellite channels, Instagram, Twitter",Kohgiloyeh and Boyerahmad,urban,33,female,master's degree,some,"BBC, Voice of America, Radio Farda, News websites, other satellite channels, Facebook",Movie and Serial
04/27/2022 20:31:23,much,"Iran International, BBC, manoto, Instagram",Kerman,urban,31,male,bachelor's degree,some,BBC,"Movie and TV series, art programs, comic programs"
04/27/2022 20:57:22,much,Instagram,Tehran,urban,38,male,high school diploma,very little,national television,Movie and Serial
04/27/2022 22:31:05,a little,"BBC, Telegram",Esfahan,urban,31,male,associates degree,very little,national television,Comic programs
04/27/2022 23:44:24,a little,"Iran International, Telegram",Kohgiloyeh and Boyerahmad,urban,32,male,bachelor's degree,very little,"News websites, other","Sports programs, art programs, comic programs"
04/28/2022 00:31:36,little,Instagram,Esfahan,urban,38,female,bachelor's degree,very much,"Internal televisioning, Internal Newspapers, BBC, Voice of America, Radio Farda, Other Satellite Channels, Facebook","Educational or Teaching Programs, Art Programs, Comic Programs, Speech / Discussion / Dialogue"
04/28/2022 00:53:15,a little,"manoto, Instagram",Yazd,urban,39,male,bachelor's degree,little,national television,"Movie and TV series, documentary programs, other apps"
04/28/2022 01:23:32,a little,"national television, Instagram",Qom,urban,23,male,high school diploma,little,national television,"Educational or Teaching Programs, Speech / Discussion / Dialogue"
04/28/2022 01:34:13,much,"national television, Iran International, BBC, manoto, Radio Farda, Voice of America, Instagram, Telegram",Khuzestan,urban,27,male,bachelor's degree,not at all,,"Movies and Serials, Training or Lesson Programs, Documentary Programs, Comic Programs, Baby Programs"
04/28/2022 01:40:36,much,"Iran International, manoto, Instagram",Zanjan,urban,25,male,master's degree,little,"BBC, Voice of America","Movie and TV series, documentary programs, lectures / discussions / dialogue, other programs"
04/28/2022 01:44:14,a little,"Instagram, Telegram",Tehran,urban,34,female,bachelor's degree,little,national television,"Movie and Serial, Comic Programs"
04/28/2022 01:50:36,little,"Iran International, BBC, manoto, Instagram, Telegram",Ilam,urban,32,male,bachelor's degree,little,national television,"Sports programs, documentary programs"
04/28/2022 01:54:58,a little,"Instagram, Telegram",Khorasan Razavi,urban,28,female,high school diploma,very little,"Other satellite channels, Instagram, other",Movie and Serial
04/28/2022 02:03:46,much,"Iran International, BBC, manoto, Radio Farda, Voice of America, other satellite channels, news websites, Instagram, Twitter, other",Tehran,urban,30,male,associates degree,a lot,"Internal televisioning, Internal Newspapers, Voice of America, Radio, News websites, Facebook, Twitter","Movies and Serials, Sports Programs, Educational Programs, Art Programs, Documentary Programs, Religious Programs, Comic Programs, Cooking Programs, Child Programs, Speech / Discussion / Dialogue, Other Programs, None"
04/28/2022 02:30:22,much,"Iran International, manoto, Radio Farda, Voice of America, Instagram",Fars,urban,27,male,pdh and above,very much,"BBC, Voice of America, Radio Farda","Movie and Serials, Educational or Teaching Programs, Comic Programs"
04/28/2022 02:54:10,very much,"national television, Instagram",Markazi,urban,39,male,associates degree,some,national television,Sports programs
04/28/2022 03:24:26,a little,"national television, Iran International, Instagram, Telegram",Tehran,urban,30,male,bachelor's degree,very little,national television,"Movies and Serials, Sports Programs, Educational Programs, Comic Programs, Cooking Programs, Lecture / Discussion / Dialogue"
04/28/2022 03:26:19,a little,"Iran International, manoto, Instagram",Esfahan,urban,34,male,no high school diploma,very little,"Internal television, other satellite channels","Sports programs, comic programs"
04/28/2022 03:50:15,a little,Iran International,Kordestan,urban,26,female,associates degree,very little,Voice of America,None
04/28/2022 04:05:25,a little,Instagram,East Azarbaijan,urban,22,male,associates degree,some,BBC,Sports programs
04/28/2022 04:05:47,much,"Iran International, manoto, Voice of America, Telegram",Markazi,urban,34,male,master's degree,a lot,"BBC, Facebook","Sports Programs, Educational or Teaching Programs, Documentary Programs, Child Programs"
04/28/2022 04:13:24,much,Instagram,Gilan,urban,22,male,bachelor's degree,some,"Internal televisioning, Internal Newspapers, BBC, Voice of America, Radio Farda, News websites, other satellite channels","Sports programs, documentary programs, comic programs, cooking programs"
04/28/2022 04:20:06,a little,"Instagram, Telegram",East Azarbaijan,urban,35,female,bachelor's degree,little,"Voice and Internal newspapers, BBC, Voice of America, Radio Farda, News websites, other satellite channels","Movies and Serials, Educational or Lesson Programs, Cooking Programs"
04/28/2022 04:23:38,much,"Iran International, Instagram, Telegram, Twitter, Other",Tehran,urban,20,female,bachelor's degree,not at all,,"Movies and Serials, Educational or Lesson Programs, Documentary Programs, Other Programs"
04/28/2022 04:23:47,very little,"Instagram, WhatsApp",Chaharmahal va Bakhtiari,urban,29,male,bachelor's degree,some,"Internal newspapers, BBC, Voice of America, Radio Farda","Movies and Serials, Sports Programs, Educational Programs, Art Programs, Documentary Programs, Comic Programs, Cooking Programs, Baby Programs"
04/28/2022 05:05:51,very little,Instagram,Gilan,urban,30,male,master's degree,little,BBC,Movie and Serial
04/28/2022 05:16:28,very much,Iran International,Tehran,urban,31,male,bachelor's degree,very little,Other,"Movie and TV series, sports programs"
04/28/2022 05:47:57,not at all,,Alborz,urban,39,male,master's degree,very much,"Internal newspapers, BBC, Voice of America, Radio, News websites, Facebook",None
04/28/2022 06:07:57,much,"manoto, Radio Farda, Instagram",Gilan,rural,31,male,high school diploma,a lot,national television,Movie and Serial
04/28/2022 06:20:15,a little,Other,Khorasan Razavi,urban,35,male,high school diploma,little,national television,Other plans
04/28/2022 06:51:47,much,"Iran International, BBC, manoto, Voice of America, Instagram, Telegram",Esfahan,urban,24,male,bachelor's degree,some,national television,"Movie and Serial, Sports Programs, Educational Programs, Documentary Programs, Comic Programs, Speech / Discussion / Dialogue"
04/28/2022 06:52:30,a little,Instagram,Tehran,urban,30,female,bachelor's degree,little,Instagram,"Movies and Serials, Educational or Teaching Programs, Art Programs, Comic Programs, Cooking Programs"
04/28/2022 07:08:42,much,"Instagram, Telegram",Qom,urban,21,male,high school diploma,some,"Internal television, News websites","Movie and TV series, sports programs, comic programs"
04/28/2022 07:44:12,a little,"Iran International, BBC, manoto, Radio Farda, Instagram, WhatsApp",Khuzestan,urban,27,male,bachelor's degree,little,BBC,"Movies and TV series, art programs, documentary programs, comic programs"
04/28/2022 10:03:45,much,"Iran International, manoto, Instagram, Telegram",Khorasan Razavi,urban,26,male,bachelor's degree,some,"BBC, Voice of America",Documentary programs
04/28/2022 10:10:42,much,manoto,Esfahan,urban,45,male,high school diploma,a lot,Other satellite channels,"Movie and TV series, sports programs"
04/28/2022 10:11:24,much,"manoto, Instagram",Tehran,urban,35,male,high school diploma,little,national television,Movie and Serial
04/28/2022 10:11:29,little,Instagram,Fars,urban,27,female,no high school diploma,little,BBC,Movie and Serial
04/28/2022 10:12:40,a little,Instagram,Tehran,rural,18,female,no high school diploma,very little,Other satellite channels,"Movie and Serials, Educational Programs or Lesson"
04/28/2022 10:13:08,very much,"manoto, Voice of America, Instagram",Tehran,urban,50,male,master's degree,some,"Internal television, Internal Newspapers","Movie and TV series, documentary programs, comic programs, other apps"
04/28/2022 10:13:15,very much,"manoto, News websites, Instagram, Telegram, WhatsApp, Twitter",Tehran,urban,44,female,master's degree,a lot,News websites,"Movie and Serial, Documentary Programs"
